"OTU"	"Deng_Y_2012"	"Raut_S_2018_1"	"Raut_S_2018_2"	"Raut_S_2018_3"	"Xia_W_2017"	"Yang_S_2019"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu567"	NA	0.760152673478753	-1.54740559381293	-0.612534714119831	NA	NA	3	-1.39978763445401	-0.466595878151336	-1
"Otu568"	1.33839974218587	-0.144237139257673	0.327881985735486	0.475729928617603	NA	0.0911738097358158	5	2.0889483270171	0.41778966540342	1
"Otu57"	0.264266841134752	0.132187619592087	0.197823120759538	-0.625511626321352	0.863433634786306	-0.0327474659554536	6	0.799452123995877	0.13324202066598	1
"Otu570"	-0.725751987572879	-0.326678011793293	-0.644376725545268	NA	-1.65674376890665	-0.154359010737625	5	-3.50790950455572	-0.701581900911143	-1
"Otu5714"	NA	0.244629211271756	-0.93738103038275	-0.204694848582577	NA	-1.12160569603124	4	-2.01905236372481	-0.504763090931203	-1
"Otu5715"	-0.131311259033566	0.0682860204571726	-0.497795416247163	-1.16311965329151	0.139799148981243	NA	5	-1.58414115913382	-0.316828231826765	-1
"Otu5724"	-0.777659851480086	0.229679203710403	0.63713532785761	-0.391405137623274	NA	-0.039720905799054	5	-0.341971363334401	-0.0683942726668802	-1
"Otu573"	NA	0.0937777362145933	-0.298978732329898	-0.623621749033008	NA	NA	3	-0.828822745148313	-0.276274248382771	-1
"Otu574"	-0.319704678757814	-0.251522996200567	-0.0302888027962129	-1.68016611155999	NA	0.849809181132414	5	-1.43187340818217	-0.286374681636434	-1
"Otu575"	0.981283055025273	0.689015851830561	0.556665623662447	-0.627803318077447	NA	NA	4	1.59916121244083	0.399790303110208	1
"Otu5754"	-0.324659801086939	-1.01901224908434	0.123116205292545	NA	NA	NA	3	-1.22055584487873	-0.406851948292911	-1
"Otu577"	NA	0.623920892029876	-1.01691179035507	NA	NA	0.466611795620007	3	0.073620897294813	0.024540299098271	1
