"OTU"	"Che_R_2018"	"DeAngelis_M_2015_1"	"DeAngelis_M_2015_2"	"DeAngelis_M_2015_3"	"Waghmode_R_2018"	"Zhang_K_2016"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu245"	-0.239832941510527	4.43771249172087	2.24629770220112	0.902420794125484	-0.792357212460907	0.0337921635811623	6	6.5880329976572	1.09800549960953	1
"Otu2451"	-0.114343695195526	NA	NA	NA	0.366811938841539	0.361041441847564	3	0.613509685493577	0.204503228497859	1
"Otu2460"	0.24859201832663	NA	NA	NA	-0.375947709097386	-0.382550799510422	3	-0.509906490281178	-0.169968830093726	-1
"Otu2468"	-0.745161133179038	NA	NA	NA	-0.494422212288075	0.573601809618416	3	-0.665981535848697	-0.221993845282899	-1
"Otu2486"	NA	1.79555697425464	1.53244564990788	-1.14542437347349	NA	NA	3	2.18257825068903	0.72752608356301	1
"Otu25"	0.0396251640835365	NA	NA	NA	-0.378367226612773	0.507439632899054	3	0.168697570369818	0.0562325234566058	1
"Otu2502"	NA	0.196520637236334	-0.857691413089857	1.9589408007822	NA	NA	3	1.29777002492868	0.432590008309559	1
"Otu2506"	NA	1.24885182382653	-0.889688403306988	-3.47754834469036	NA	NA	3	-3.11838492417082	-1.03946164139027	-1
"Otu2508"	NA	-0.543042158937858	-0.0314230798370207	-1.02412291713373	NA	NA	3	-1.59858815590861	-0.532862718636203	-1
"Otu2509"	1.84352452094457	NA	NA	NA	1.72709058481941	-0.87982926509817	3	2.69078584066581	0.89692861355527	1
"Otu2514"	NA	3.23383039279505	-1.50716964193697	0.263108266607552	NA	NA	3	1.98976901746563	0.663256339155211	1
"Otu2515"	NA	-2.02677163911244	-0.340220250825178	0.91491719810692	NA	NA	3	-1.4520746918307	-0.484024897276899	-1
"Otu2523"	NA	-0.596624805231412	3.6067208788353	0.894187820473722	1.64835192416115	NA	4	5.55263581823876	1.38815895455969	1
"Otu2524"	NA	1.00307376794617	0.970237300531931	1.21404351782116	NA	NA	3	3.18735458629926	1.06245152876642	1
"Otu2528"	NA	NA	-0.236939521346913	-2.51020689999199	0.429198061047784	NA	3	-2.31794836029112	-0.772649453430373	-1
"Otu253"	0.107116521449113	NA	NA	NA	0.350466996757662	0.130143041478381	3	0.587726559685156	0.195908853228385	1
"Otu2532"	NA	-0.0414561868860232	-0.5728885360768	-1.04120221339082	NA	NA	3	-1.65554693635364	-0.551848978784548	-1
"Otu254"	-0.146323581269383	0.748501241198927	2.15772560430795	-1.57753391983362	0.831375188836092	0.283912277464802	6	2.29765681070477	0.382942801784128	1
"Otu255"	NA	2.55733072421498	1.77696754349722	-3.36491415059848	NA	NA	3	0.96938411711372	0.323128039037907	1
"Otu2556"	0.0101015478616171	NA	NA	NA	0.293702380632663	-0.382550852844272	3	-0.0787469243499919	-0.0262489747833306	-1
"Otu256"	-0.0591252968837785	NA	NA	NA	-0.366490185551102	-0.666787464986297	3	-1.09240294742118	-0.364134315807059	-1
"Otu258"	-0.153506197003336	NA	NA	NA	0.855446117434595	0.380040748150828	3	1.08198066858209	0.360660222860696	1
"Otu2593"	-0.18988144085654	1.82512944194863	1.42974159543168	-3.19690773531566	NA	NA	4	-0.13191813879189	-0.0329795346979725	-1
"Otu26"	-0.0487136573298461	2.91139466510691	1.52249239091064	-0.125911922665043	-0.0264665120863336	0.363193442221233	6	4.59598840615756	0.765998067692927	1
"Otu260"	-0.942088742976267	NA	NA	NA	0.374445511727686	-0.254402585477099	3	-0.82204581672568	-0.274015272241893	-1
"Otu2600"	0.596778881201789	2.32664117104489	0.710768123628419	0.936653016972703	-0.763332938701318	-0.123738405465585	6	3.6837698486809	0.613961641446816	1
"Otu2601"	NA	1.39582313618668	0.426847737964341	-0.853691032222019	NA	NA	3	0.968979841929002	0.322993280643001	1
"Otu2604"	NA	-1.96068637598185	2.64042403255126	0.0406103150104423	NA	NA	3	0.720347971579852	0.240115990526617	1
"Otu2609"	NA	1.50937643807139	-1.75374519795348	-1.21174895787095	-0.393807962040644	NA	4	-1.84992567979368	-0.462481419948421	-1
"Otu261"	-0.9336930576114	NA	1.34883136812932	NA	-0.0604211584660405	-0.288599470832108	4	0.0661176812197715	0.0165294203049429	1
"Otu2613"	NA	-2.21814563872495	-1.69048391638475	-0.715429276261432	NA	NA	3	-4.62405883137113	-1.54135294379038	-1
"Otu2616"	1.13338562817551	NA	NA	NA	-0.930356108539564	1.40064189451775	3	1.6036714141537	0.534557138051232	1
