"OTU"	"Bastida_F_2017_1"	"Bastida_F_2017_2"	"Bouskill_N_2013_1"	"Bouskill_N_2013_2"	"Fernamdes_V_2018_1"	"Fernamdes_V_2018_2"	"Zhang_K_2016"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu6988"	0.971933526110779	NA	0.327268329989731	NA	-0.0721717252315833	-0.391722590456171	NA	4	0.835307540412756	0.208826885103189	1
"Otu699"	NA	NA	NA	NA	-0.0351874748207858	0.104863249890435	0.592328024077306	3	0.662003799146955	0.220667933048985	1
"Otu6994"	-0.237012142530205	-0.719434229453017	0.327268329989731	NA	0.518126503661801	-0.556229139923927	NA	5	-0.667280678255617	-0.133456135651123	-1
"Otu7"	-0.131002852946994	-0.433909396281162	0.651281401668359	-0.156498394961673	-0.0894256757502251	0.709317125726293	0.256573135494118	7	0.806335342948716	0.115190763278388	1
"Otu70"	-0.665382376422109	-0.188348579103113	0.0367587586751293	NA	0.0540523024598627	-0.218767988163193	0.307284018854993	6	-0.67440386369843	-0.112400643949738	-1
"Otu7008"	3.07884802303138	-1.94771895859508	-0.903857467110257	-0.846344001912564	-0.39889348866278	0.0246889447817394	NA	6	-0.993276948467562	-0.165546158077927	-1
"Otu701"	-0.2722129631039	0.843052472731594	NA	NA	0.0397137596133672	-0.939683920905392	-0.0911413709117999	5	-0.420272022576131	-0.0840544045152261	-1
"Otu7016"	NA	0.486129534855184	0.717263116462626	NA	-0.43762082927308	-2.46050938635881	NA	4	-1.69473756431408	-0.42368439107852	-1
"Otu703"	-0.105246249053352	-0.548522480231427	-1.54447955192272	NA	0.406263210983563	-0.106929359068696	-2.37533852725736	6	-4.27425295654999	-0.712375492758332	-1
"Otu704"	-0.234680732398832	0.0214351047611162	NA	NA	NA	-0.70178270069388	-0.196300004008384	4	-1.11132833233998	-0.277832083084995	-1
"Otu7063"	-1.20633928939779	0.139920045019139	0.327268329989732	-0.183874478702376	NA	2.64386216743026	NA	5	1.72083677433896	0.344167354867793	1
"Otu707"	0.491296207554541	0.978521549983917	-1.98182674933416	NA	NA	NA	1.06905901130997	4	0.557050019514268	0.139262504878567	1
"Otu7070"	NA	NA	-1.07840974302491	NA	0.082554873508959	0.24790274522742	NA	3	-0.747952124288531	-0.249317374762844	-1
"Otu708"	NA	NA	NA	NA	1.12922363993336	-0.680910582511669	0.212171016385946	3	0.660484073807637	0.220161357935879	1
"Otu71"	-0.0743268671057567	-0.644560415024049	NA	NA	NA	NA	0.552378940369013	3	-0.166508341760793	-0.0555027805869309	-1
"Otu710"	-0.337565908003702	-1.06921259764744	NA	NA	NA	NA	0.141468597716408	3	-1.26530990793473	-0.421769969311578	-1
"Otu712"	0.479798267562907	0.376308836936278	-1.28204186342721	NA	NA	0.0964646294564197	0.910126831810353	5	0.580656702338748	0.11613134046775	1
"Otu7142"	-0.214587828311816	NA	NA	NA	0.679296953754587	1.15009942629803	NA	3	1.6148085517408	0.538269517246934	1
"Otu7155"	0.827247579878736	-0.838942206794204	1.14988196665014	NA	-0.967971416464543	0.620074059315332	NA	5	0.790289982585461	0.158057996517092	1
"Otu716"	-0.417760872508964	-0.302501105317335	-0.144334346849269	NA	-0.492312701475771	-0.428086441767238	0.276986128917275	6	-1.5080093390013	-0.25133488983355	-1
"Otu717"	0.85634364108916	0.392217448776702	NA	NA	NA	NA	0.572117126645317	3	1.82067821651118	0.60689273883706	1
"Otu718"	NA	NA	NA	NA	-1.26621654547165	0.0203796925464981	-1.14063035102321	3	-2.38646720394836	-0.795489067982787	-1
"Otu7188"	1.11963872963235	0.000623069737179559	-1.59435820737373	NA	0.551324532727703	-0.308884123691763	NA	5	-0.23165599896826	-0.0463311997936521	-1
"Otu72"	-0.659142871738767	-0.0738442750022896	1.43108218172768	NA	0.35553336961221	0.00667939048531489	0.496251107962693	6	1.55655890304684	0.25942648384114	1
"Otu720"	NA	NA	NA	NA	0.740892801995854	1.69901954008835	0.53325316234307	3	2.97316550442727	0.991055168142425	1
"Otu721"	-0.196085389646661	0.600459072488335	-2.0827945556618	NA	0.163416404042205	-0.542224764834674	-1.51769716218408	6	-3.57492639579668	-0.595821065966113	-1
"Otu7229"	0.259029378750644	-0.495552687992699	NA	NA	NA	0.268767878211682	NA	3	0.032244568969627	0.0107481896565423	1
"Otu7231"	NA	-1.14832887554408	0.121124102528371	NA	0.10694462552576	-0.62117275430672	NA	4	-1.54143290179667	-0.385358225449167	-1
"Otu724"	NA	NA	NA	NA	-5.30306531055106	-5.9469148289814	-0.0548806063711824	3	-11.3048607459036	-3.76828691530121	-1
"Otu725"	0.387743788793027	0.673493939228238	-2.4090512555585	-0.201911983577509	1.49369815555438	-0.128907077639061	-1.07274405994272	7	-1.25767849314214	-0.179668356163164	-1
"Otu7279"	-0.406161645465466	0.635025019290118	-0.903374505226344	NA	0.565807937148073	-1.35920247199617	NA	5	-1.46790566624979	-0.293581133249958	-1
"Otu729"	NA	NA	NA	NA	0.0446432078167457	0.483728550815925	1.09616402688307	3	1.62453578551574	0.541511928505247	1
"Otu7295"	0.794363215919708	NA	-2.239461666879	NA	0.335209533320864	-1.25866809436313	NA	4	-2.36855701200156	-0.592139253000389	-1
"Otu7298"	NA	-0.235638471522831	NA	NA	0.158575776681012	-0.0901203509592951	NA	3	-0.167183045801114	-0.0557276819337047	-1
"Otu73"	-0.522563973610506	-0.010083588651166	0.365957546169321	NA	-0.595541019573106	-0.204909270914009	0.696486064905233	6	-0.270654241674233	-0.0451090402790388	-1
"Otu730"	-0.165203129003882	0.315074158704181	NA	NA	0.268484584167666	0.570662175039153	-1.69533743459851	5	-0.706319645691392	-0.141263929138278	-1
"Otu731"	-0.268788522744009	-0.420567692143788	NA	NA	-0.7534638484145	0.246097026082936	-0.366816674722303	5	-1.56353971194166	-0.312707942388333	-1
"Otu732"	-0.436639365970414	-1.15167426808076	-0.254067701392747	NA	0.0437669294307794	0.930642966012541	-1.09674621869055	6	-1.96471765869115	-0.327452943115192	-1
"Otu7330"	1.44885038977369	-0.651166613024066	-1.39852798833102	NA	0.29517797765059	-0.274049469126555	NA	5	-0.579715703057361	-0.115943140611472	-1
"Otu734"	-1.16411620238541	-0.59579980456862	NA	NA	NA	NA	1.7701441478075	3	0.01022814085347	0.00340938028449	1
