"OTU"	"Leff_W_2015_1"	"Leff_W_2015_2"	"Leff_W_2015_3"	"Leff_W_2015_4"	"Leff_W_2015_5"	"Leff_W_2015_6"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu342"	0.296835180981558	NA	NA	0.38619154828087	0.924800646214544	-1.17283341747676	4	0.434993958000212	0.108748489500053	1
"Otu344"	0.104805607106659	NA	-0.159228570226175	0.649472654794257	0.0941704815024543	-2.72446809768508	5	-2.03524792450788	-0.407049584901577	-1
"Otu3442"	NA	0.936717039499761	NA	-0.173958562332284	-0.252237009301703	NA	3	0.510521467865774	0.170173822621925	1
"Otu345"	-0.982515403173654	0.595646368874973	0.182386147504532	1.7076711564365	NA	-0.125826821194028	5	1.37736144844832	0.275472289689665	1
"Otu346"	NA	0.950178165976512	0.079040077407551	1.17233781437028	0.0959856185349566	0.0967580606572947	5	2.39429973694659	0.478859947389319	1
"Otu347"	-0.212125696133637	NA	NA	-0.329308796373198	0.207828179969417	NA	3	-0.333606312537418	-0.111202104179139	-1
"Otu3471"	NA	-2.2751936784839	-0.173447339348882	2.0418117150643	NA	-0.0797379148619612	4	-0.486567217630443	-0.121641804407611	-1
"Otu348"	NA	NA	0.425432451207011	-0.320855251714489	-0.910083697000744	NA	3	-0.805506497508222	-0.268502165836074	-1
"Otu3484"	NA	1.46329042908287	-0.248959798449538	NA	NA	0.65418415117722	3	1.86851478181055	0.622838260603517	1
"Otu349"	0.508238772345593	1.37779671786733	0.415185133865041	NA	0.146258940331086	-1.55660574779782	5	0.89087381661123	0.178174763322246	1
"Otu3490"	-2.42820849585442	NA	-0.0677023003450237	-0.175146253248094	0.735887413077829	NA	4	-1.93516963636971	-0.483792409092427	-1
"Otu3492"	NA	NA	0.234354994905909	0.00262513493264949	NA	0.173225265277897	3	0.410205395116455	0.136735131705485	1
"Otu35"	-0.34840458158461	NA	0.0803263355038306	-0.177463071975143	NA	-0.291713089804296	4	-0.737254407860218	-0.184313601965055	-1
"Otu3510"	-0.576077357346462	4.079969863474	NA	NA	0.333240387714297	NA	3	3.83713289384183	1.27904429794728	1
